mprove50_x,mprove50_y
2,1.1957500388604123e-16
3,-0.0
2,1.583782837660325e-16
1,-7.810805456624255e-16
2,-0.0
0,-2.0021774523664766e-16
1,0.0
1,0.0
1,0.0
0,-0.0
1,-1.4707458442928493e-16
2,-9.274685589094257e-15
3,6.587384163141174e-16
1,-4.2341449575179967e-16
0,-2.1558991178502295e-16
2,-2.2789056162060053e-16
3,6.30982551350709e-15
1,0.0
0,2.1819426525620704e-15
2,5.823048024899942e-16
3,-0.0
1,2.5988290238106512e-15
0,-7.738518901727052e-16
2,3.6432874481040365e-15
3,1.1310300549891604e-15
1,-1.3171157674790516e-15
0,-3.7518883908823994e-16
2,-2.5755286480900038e-15
3,4.734436428831401e-15
1,-3.7097815427865933e-16
0,5.812857759322541e-16
2,-7.43463731676001e-16
3,-6.118205414069337e-15
1,6.433112717504338e-16
0,-1.58403219613448e-15
2,-5.563741208803395e-16
3,-2.8308270836402555e-15
1,-1.8358624063065672e-15
0,-3.8037052317333914e-16
2,-9.612860052692254e-16
3,-3.3479097555142317e-15
1,-5.895166973750754e-16
0,1.20490886918981e-16
2,-2.0591936459322646e-16
3,2.7403423664728875e-14
1,-0.0
0,-1.8836281682508482e-14
2,6.223432158386278e-16
3,3.0674684546780505e-15
1,1.265856120409161e-14
0,-1.1226295855146264e-15
2,8.158650436544546e-15
3,3.947878507495697e-15
1,-1.466266059847924e-15
0,-1.9498136435820909e-16
2,-2.307280353276035e-15
3,1.7164541761335383e-14
1,-3.7817899461280133e-16
0,2.4645344960462597e-15
2,-7.427563382668784e-16
3,-8.344889768724417e-15
1,1.7629043778352252e-15
0,-2.1244649377392336e-15
2,3.593334440536667e-16
3,-4.612687696540623e-15
1,-2.3354661533312905e-15
0,-3.697019468284274e-16
2,-1.5816480892900206e-15
3,-6.2853011742103624e-15
1,-5.597273529517109e-16
0,7.272084005519718e-16
2,-1.903801210972384e-16
3,1.1982395954306424e-14
1,6.482820889375465e-16
0,-4.2535156867091544e-15
2,1.182038203087987e-15
3,4.1244708985534e-15
1,-8.824140412674557e-15
0,-8.007120426859769e-16
2,-4.6808585603941465e-14
3,5.925451510739298e-15
1,-1.2595845155087895e-15
0,2.134140150740804e-16
2,-2.3394350052093346e-15
3,1.0083009654784428e-13
1,-2.0250787802922657e-16
0,1.1132901304522202e-14
2,-7.781020875699074e-16
3,-8.264500132307693e-15
1,5.496946517765291e-15
0,-2.2573732885630556e-15
2,1.0833515680583246e-15
3,-5.666668617852035e-15
1,-2.069300915611532e-15
0,-3.7395258063586283e-16
2,-1.2357055263084322e-15
3,-1.1934554032456112e-14
1,-5.529683632750963e-16
0,1.902517337161856e-15
2,-1.8326205701178113e-16
3,7.775013649216463e-15
1,1.2493653055821218e-15
0,-2.7402696241848534e-15
2,1.8707310138738945e-15
3,4.591406883587937e-15
1,-3.529985776232402e-15
0,-7.407243406042625e-16
2,-5.182272813383625e-15
3,8.655675756967865e-15
1,-9.397281103695032e-16
0,7.842023532138317e-16
2,-1.1524121333530041e-15
3,-2.7401399798939682e-14
1,4.828884654352172e-16
0,-8.318253450103282e-15
2,1.1303702167697301e-16
3,-6.520397197687074e-15
1,-1.52757652296797e-14
0,-1.2244240553481213e-15
2,-1.393144996224451e-13
3,-5.3523199752528246e-15
1,-1.488185733430033e-15
0,2.060285019117189e-16
2,-1.0029572424767863e-15
3,-4.858015404320595e-14
1,-0.0
0,8.579433417843082e-15
2,3.8521926487601785e-16
3,4.232248864537992e-15
1,6.4525057687886816e-15
0,-1.8897639427959233e-15
2,6.195392339623648e-15
3,4.7033990691873116e-15
1,-2.2943919604012315e-15
0,-3.7009735862832685e-16
2,-3.0568252535642283e-15
3,1.724725327207823e-14
1,-5.484929227476151e-16
0,2.824800322570983e-15
2,-7.257651918917295e-16
3,-1.0592273453158828e-14
1,2.2957215481954648e-15
0,-3.445320955175622e-15
2,1.722485537965115e-15
3,-4.6994849187426664e-15
1,-4.039172467905822e-15
0,-9.091766404484683e-16
2,-4.315943110631303e-15
3,-5.2064790835436455e-15
1,-1.095995532081734e-15
0,1.1202341655696681e-15
2,-9.1964828875566e-16
3,5.811721542759006e-15
1,9.228131980861863e-16
0,-7.564947330196185e-15
3,1.3047416811552322e-15
2,-1.3750606798881234e-16
1,-0.0
0,-1.7355851236302e-16
1,8.017301398116945e-16
4,8.332268896022929e-16
4,1.2334774593434071e-15
4,5.372682047377361e-15
4,-1.411099275714978e-16
4,1.6709552814108131e-15
4,7.233715922287953e-15
4,-1.8079641679092247e-14
4,-8.157489558390994e-15
4,-1.1206459305716457e-14
4,-3.3634258160360813e-13
4,1.707516536149029e-14
4,1.7145960904938837e-14
4,5.173972572364668e-14
4,-4.414041834178903e-14
4,-2.4289803167038767e-14
4,-3.742420355533409e-14
4,1.489905539513475e-13
4,3.2786979257505776e-14
4,3.6816571501574816e-14
4,2.2714940190489565e-13
4,-5.448461312550733e-14
4,-4.019068411012696e-14
4,-8.70806542615328e-14
4,9.515037422661092e-14
4,4.468872192360657e-14
4,6.500202643534194e-14
4,-3.272648980818915e-13
4,-5.5237542108092335e-14
4,-5.4653731049642654e-14
4,-3.404230651371093e-13
4,6.702034204664339e-14
4,5.155897609223789e-14
4,1.3106335373123596e-13
4,-1.0152845828831741e-13
4,-5.202623371299111e-14
4,-8.14477183531634e-14
3,-2.4482678271913285e-16
2,-0.0
1,-2.1557513812544934e-16
0,4.066594578717171e-16
1,1.885214890595299e-16
4,1.3952270749333382e-14
5,2.344480760737529e-15
5,3.1325795184493982e-15
5,9.372659721757839e-15
5,-2.4628007847796305e-15
5,2.22434481770993e-15
5,1.1509151836827513e-14
5,-6.071514540652524e-14
5,-2.2505031119804904e-14
5,-3.245671932383648e-14
5,-2.642358700908137e-13
5,7.069732987806387e-14
5,6.444875170847661e-14
5,1.6366135361020235e-13
5,-2.287738892292171e-13
5,-1.1286326926107584e-13
5,-1.6743383016396213e-13
5,1.8068006762172606e-12
5,1.9083758425297825e-13
5,1.9610544341606143e-13
5,8.064491977915096e-13
5,-3.549506065288734e-13
5,-2.4516478149248117e-13
5,-4.873021962125858e-13
5,7.940410860833796e-13
5,3.1810331856188777e-13
5,4.2776664101420083e-13
5,-5.0703547968848585e-12
5,-4.344650416659805e-13
5,-4.214793289732127e-13
5,-1.9254143522444416e-12
5,6.227263812436187e-13
5,4.4489997815020406e-13
5,1.0064411511837423e-12
5,-1.0025013667999544e-12
5,-4.897111135351988e-13
3,-5.872889690055113e-16
2,-1.3063965272360078e-15
1,8.290751000490739e-16
0,1.8578891423855283e-16
1,0.0
4,-1.5635979890257577e-15
5,-4.674386663946624e-14
6,6.718515727324583e-15
6,7.57486329952385e-15
6,1.8927771500245713e-14
6,-1.2373525105229823e-14
6,9.379007089928449e-16
6,1.7418195056195832e-14
6,-2.6973707082845693e-13
6,-6.03941419921484e-14
6,-8.778880042233842e-14
6,-4.705691921750638e-13
6,2.6682680113631963e-13
6,2.2361940264334306e-13
6,5.063428365342698e-13
6,-1.1680088171906407e-12
6,-4.763299886059017e-13
6,-6.694513432312588e-13
6,-3.030832933372969e-11
6,9.69252465469698e-13
6,9.31760720092984e-13
6,3.0130140290889676e-12
6,-2.115737956976657e-12
6,-1.3356442343552485e-12
6,-2.4337808828753623e-12
6,5.985645124603051e-12
6,1.9651070426521407e-12
6,2.4920301531921137e-12
6,2.762528222402857e-10
6,-3.0008676072023163e-12
6,-2.7875159985185918e-12
6,-1.027371764453246e-11
6,4.840721196421091e-12
6,3.267815199218659e-12
6,6.855315222256923e-12
6,-8.6836451995337e-12
3,-5.467525220055121e-15
2,9.909993012767278e-16
1,3.7148362929947437e-16
0,-3.324645639234667e-16
1,1.3021413953365078e-15
4,-2.260344788311591e-15
5,-4.784432536455576e-15
6,-4.7027547263925e-14
7,2.0690143420542463e-14
7,2.007180595877523e-14
7,4.4771431427737614e-14
7,-5.970104711183789e-14
7,-9.238501051695988e-15
7,2.1553487554300543e-14
7,1.252990188872439e-11
7,-1.5993995604437652e-13
7,-2.306287128278566e-13
7,-9.798718414412442e-13
7,9.785098228683828e-13
7,7.421349031713719e-13
7,1.536221141556227e-12
7,-6.2896078447258325e-12
7,-1.895288207755652e-12
7,-2.5085717378711713e-12
7,-2.2444591705381938e-11
